tt0133152;movie;Planet of the Apes;Planet of the Apes;0;2001;\N;119;Action,Adventure,Sci-Fi;5.7;217828
tt0133240;movie;Treasure Planet;Treasure Planet;0;2002;\N;95;Adventure,Animation,Family;7.1;114391
tt0133670;movie;Bubbie Dream;Bubbie Dream;1;\N;\N;\N;Adult
tt0133752;movie;Fallen Arches;Fallen Arches;0;2000;\N;100;Crime,Drama,Thriller;6.5;105
tt0133886;movie;Jóvenes por la paz;Jóvenes por la paz;0;\N;\N;\N;Documentary
tt0133957;movie;Mata Hari;Mata Hari;0;\N;\N;\N;Drama
tt0134084;movie;Scream 3;Scream 3;0;2000;\N;116;Horror,Mystery;5.6;139985
tt0134166;movie;Trouble with Tikki;Trouble with Tikki;1;\N;\N;\N;Adult
tt0134630;movie;Duets;Duets;0;2000;\N;112;Comedy,Drama,Music;6.1;9580
tt0134847;movie;Pitch Black;Pitch Black;0;2000;\N;109;Action,Horror,Sci-Fi;7.1;236240
tt0134933;movie;Rendezvous with Rama;Rendezvous with Rama;0;\N;\N;\N;Adventure,Mystery,Sci-Fi
tt0134983;movie;Supernova;Supernova;0;2000;\N;90;Horror,Sci-Fi,Thriller;4.8;17925
tt0135308;movie;Crystal's Palace;Crystal's Palace;1;\N;\N;\N;Adult
tt0135569;movie;Night at Hellfire;Night at Hellfire;1;\N;\N;\N;Adult
tt0135637;movie;Sally's Sauna;Sally's Sauna;1;\N;\N;\N;Adult
tt0135707;movie;Wind River;Wind River;0;2000;\N;97;Drama,Family,Western;6.3;382
tt0135979;movie;Dolls to Dragons;Dolls to Dragons;1;\N;\N;\N;Adult
tt0135991;movie;Dominator;Dominator;0;2003;\N;100;Animation,Comedy,Sci-Fi;4.0;150
tt0136517;movie;Seven Days of Grace;Seven Days of Grace;0;2006;\N;88;Comedy,Drama;3.0;118
tt0136666;movie;Simon Says;Simon Says;0;2000;\N;91;\N;5.0;35
tt0136832;movie;Executive Privilege;Executive Privilege;1;\N;\N;\N;Adult
tt0137115;movie;Mothman;Mothman;0;2000;\N;\N;Comedy,Drama,Horror;7.0;51
tt0137140;movie;One Bad Mice;One Bad Mice;0;2009;\N;88;\N;7.2;9
tt0137204;movie;Joe Finds Grace;Joe Finds Grace;0;2017;\N;83;Adventure,Animation,Comedy;8.7;290
tt0137210;movie;Siestas & Olas: A Surfing Journey Through Mexico;Siestas & Olas: A Surfing Journey Through Mexico;0;2000;\N;87;Documentary,Sport;8.0;24
tt0137698;movie;The Girl from China;The Girl from China;1;2000;\N;73;Adult
tt0137701;movie;A Girl Named Angel;A Girl Named Angel;1;\N;\N;\N;Adult
tt0137782;movie;The Glass Boat;The Glass Boat;1;\N;\N;\N;Adult
tt0137818;movie;Housesitter: The Night They Saved Siegfried's Brain;Housesitter: The Night They Saved Siegfried's Brain;0;2018;\N;95;\N;4.9;35
tt0138194;movie;Het witte Ruuf;Het witte Ruuf;0;\N;\N;\N;\N
tt0138288;movie;All Saints Day;All Saints Day;0;2000;\N;82;Comedy;6.4;81
tt0138353;movie;Cement;Cement;0;2000;\N;97;Crime,Drama;5.5;643
tt0138524;movie;Intolerable Cruelty;Intolerable Cruelty;0;2003;\N;100;Comedy,Crime,Romance;6.3;96534
tt0138583;movie;Love... at Your Disposal;Love... at Your Disposal;0;2000;\N;\N;Comedy,Romance;6.2;9
tt0138631;movie;Muggers;Muggers;0;2000;\N;97;Comedy,Crime,Romance;5.6;283
tt0138749;movie;The Road to El Dorado;The Road to El Dorado;0;2000;\N;89;Adventure,Animation,Comedy;6.9;93771
tt0138818;movie;The Hiding Place;The Hiding Place;0;2000;\N;97;Drama;6.4;101
tt0138856;movie;Tales from the Tower;Tales from the Tower;0;2001;\N;\N;Drama;7.0;13
tt0138927;movie;Waterproof;Waterproof;0;2000;\N;95;Drama;6.4;433
tt0138946;movie;The Yards;The Yards;0;2000;\N;115;Crime,Drama,Romance;6.4;21262
tt0139159;movie;Dog Story;Dog Story;0;2000;\N;81;Crime,Thriller;7.7;9
tt0139297;movie;Gwen's Tit Torment;Gwen's Tit Torment;1;2002;\N;58;Adult
tt0139388;movie;It Had to Be You;It Had to Be You;0;2000;\N;96;Comedy,Romance;5.6;2097
tt0139479;movie;Tangoed Lives;Tangoed Lives;0;2002;\N;\N;Romance
tt0139494;movie;Kitchener;Kitchener;0;2000;\N;\N;\N;6.5;10
tt0139500;movie;In Vanda's Room;No Quarto da Vanda;0;2000;\N;171;Drama;7.1;1519
tt0139613;movie;O Silêncio;O Silêncio;0;2012;\N;\N;Documentary,History
tt0139654;movie;Training Day;Training Day;0;2001;\N;122;Action,Crime,Drama;7.7;423519
tt0140420;movie;We, the Music;Nosotros, la música;0;2004;\N;66;Documentary;7.3;24
tt0140806;movie;American Reel;American Reel;0;2003;\N;100;Drama,Music;6.6;104
tt0141120;movie;The Ghost;The Ghost;0;2001;\N;86;Action,Thriller;4.0;361
tt0141246;movie;Housesitting Can Be Fun;Housesitting Can Be Fun;1;\N;\N;\N;Adult
tt0141332;movie;In a Week;In a Week;1;\N;\N;\N;Adult
tt0141390;movie;Ira's Ordeal;Ira's Ordeal;1;\N;\N;60;Adult
tt0141399;movie;Isn't She Great;Isn't She Great;0;2000;\N;95;Biography,Comedy,Drama;5.3;2452
tt0141647;movie;Napló-részletek;Napló-részletek;0;2003;\N;120;\N
tt0141907;movie;Town & Country;Town & Country;0;2001;\N;104;Comedy,Romance;4.5;4961
